id,danceability,energy,speechiness,acousticness,instrumentalness,valence,cluster
5QGM1U0eCYrQuwSJwTm5Zq ,0.7514910536779325,0.39880663116285825,0.043891733723482096,0.21809045226130652,1.9086294416243656e-06,0.6967494028455706,0
3mXqOdlLE1k67WsAxryPFs ,0.7106251380605257,0.04931288607886655,0.0896122896854426,0.8834170854271356,4.111675126903553e-05,0.5212379270952332,4
7bSzjzjTkWT2CkIPPdp0eA ,0.6509829909432294,0.11824972570552546,0.056327724945135355,0.9206030150753768,0.00034822335025380707,0.3945373351334511,4
5pstSsK0G4q86gdyy1Spqh ,0.44665341285619614,0.14530342730319684,0.15471836137527434,0.935678391959799,0.1563451776649746,0.41634645342195453,4
33u3dO0JWjerYpFN61J3ug ,0.6774906118842501,0.2064247531349729,0.11667885881492321,0.9678391959798994,0.42030456852791875,0.6874026378647836,4
1wL2dk42Cxu4zCJs4SvFsZ ,0.6984758117958911,0.5460990065279581,0.06364301389904903,0.39999999999999997,0.07715736040609136,0.6427458718454669,0
5iKuMCDh634YGrg2HrhtHp ,0.6763861276783742,0.8647314920116431,0.05705925384052671,0.6442211055276381,0.36345177664974615,0.5337002804029495,0
4xGFcQEIjtmbPD6Jsxq14M ,0.6399381488844709,0.13929149361482543,0.05998536942209218,0.8713567839195979,0.0016852791878172587,0.3799979229411154,4
26g2HsIOznFYeJWR9zhRXZ ,0.46211619173845814,0.43287425539696295,0.1119239209948793,0.6110552763819095,0.7045685279187817,0.9086094090767475,4
1OzHkIzGMj4S3rWwF8TBjc ,0.7658493483543185,0.7324689508674719,0.15801024140453548,0.48944723618090447,0.0009238578680203045,0.8244885242496625,0
3gDzuF3Dy0K4RQszBFAYCv ,0.7017892644135189,0.4048185648512297,0.03328456474030725,0.8170854271356782,0.00015939086294416242,0.8546058780766436,4
51P5Djwsur61UY4oitktOQ ,0.6145350121493263,0.5390850838915248,0.03145574250182882,0.15678391959798993,0.0021725888324873096,0.9283414684806316,0
2RPHy1PlxehscIM1K1wQMy ,0.5924453280318092,0.7394828735039053,0.08266276517922458,0.5256281407035176,0.7360406091370557,0.8919929379997924,0
52mwxbVQOtYXntgvyXyBc4 ,0.3538767395626243,0.08578528378831982,0.06217995610826629,0.9829145728643215,0.002,0.14009762176757712,4
60FNhq77JIoQsUKwf0wf5m ,0.5537883808261541,0.11123580306909214,0.06912948061448429,0.8944723618090452,0.0,0.301069685325579,4
3ftxaxht5yQW99vNcibmUC ,0.3991605920035343,0.25151425579775855,0.08814923189465984,0.9678391959798994,0.914720812182741,0.4319243950565999,2
5gvBgfXusUpxjOWHyYJXVg ,0.5162359178263751,0.2755619905512442,0.08449158741770302,0.9768844221105526,0.898477157360406,0.26783674317166895,2
4P9HLmNcE6dUUvsPUvl3gs ,0.6377291804727192,0.5521109402163294,0.38185808339429417,0.836180904522613,0.0,0.4693114549797487,4
3pjbCjL1IlqOfuQ8YOkX6o ,0.4278771813563066,0.14430143835513493,0.09436722750548648,0.9417085427135679,0.932994923857868,0.2927614497871015,2
65GsUbgQju5Mh0Ab7CRUWB ,0.4024740446211619,0.24450033316132522,0.040599853694220936,0.7386934673366833,0.0,0.689479696749403,4
2rIzPAaLY6ocCanj5H7edQ ,0.7879390324718356,0.205422764186911,0.11119239209948795,0.8834170854271356,0.00031776649746192894,0.5513552809222142,4
7BlLxHwobm2gHjXev9dNVe ,0.7636403799425668,0.21444066471946813,0.9890270665691295,0.6211055276381909,0.004710659898477157,0.37376674628725726,3
4WfT503LMc9zLewdsok9un ,0.4797879390324718,0.24149436631713952,0.03877103145574251,0.7055276381909547,0.0,0.7382905805379583,4
1htDFdG7K6pW07cuIanjGG ,0.5305942125027612,0.22345856525202526,0.1349670811997074,0.7778894472361808,0.09005076142131979,0.5295461626337108,4
09VxH0oobfXR1bRXZ78VXP ,0.60017671747294,0.48497768069618186,0.10460863204096565,0.8804020100502512,0.8538071065989847,0.6977879322878804,2
7bM4h5zu7FkChGbSeozZVN ,0.6156394963552021,0.401812598007044,0.046817849305047565,0.8743718592964823,0.07126903553299492,0.79956381763423,4
596scNUBRpj2AygfaBVyTj ,0.7459686326485531,0.8026081772318052,0.07242136064374544,0.014673366834170852,0.3512690355329949,0.4713885138643681,0
4PwzeZs0cTVuzZbCmw85hc ,0.6852220013253811,0.2805719352915537,0.04206291148500367,0.9778894472361808,0.8974619289340101,0.4298473361719805,2
22QBm5IGpx49Ggg7b0DMhL ,0.6200574331787054,0.33067138269464885,0.05340160936356986,0.850251256281407,0.07928934010152285,0.5825111641915048,4
4Lx7fiZRVb7j4U1xFZ9fyo ,0.8497901480008836,0.4298682885527772,0.29407461594733,0.5065326633165829,0.0,0.8244885242496625,0
2BkIiZYOniMrWBBlADyVNX ,0.6134305279434504,0.52605922756672,0.05486466715435262,0.5407035175879397,0.3949238578680203,0.9439194101152769,0
4lnLWhIiUKxq4Rh898vkVk ,0.7559089905014358,0.557120884956639,0.140087783467447,0.0521608040201005,0.0019086294416243653,0.6967494028455706,0
1b0Mc4h1XFArQAnQYBmIQb ,0.738237243207422,0.14430143835513493,0.10387710314557425,0.879396984924623,1.4010152284263958e-05,0.558624987018382,4
5Q2pilVN5fcIfzWGF9aGvV ,0.7835210956483323,0.27756596844736803,0.0896122896854426,0.7236180904522612,0.6710659898477157,0.7476373455187455,4
7fnFmtEpfKLnJRkayFeeZ5 ,0.7249834327369118,0.2935977916163584,0.058156547183613766,0.6050251256281406,0.007309644670050761,0.22317997715235227,4
5ZItv6TcaDqcf8Jp2se0po ,0.5648332228849127,0.8056141440759909,0.1901975128017557,0.37487437185929645,0.4964467005076142,0.6977879322878804,0
0OIXsw1P2SZvF6T2qsFFzS ,0.7117296222664016,0.30261569214891554,0.11265544989027071,0.8211055276381908,0.0,0.8951085263267214,4
1FSrV96XeBhJZQ4qIaOR79 ,0.5571018334437816,0.3136375705775965,0.19568397951719094,0.7597989949748744,0.00044873096446700506,0.32703292138332124,4
418er4nP9ZkcjB8oNzTEgb ,0.4886238126794787,0.566138785489196,0.02121433796634968,0.5658291457286431,1.7766497461928932e-05,0.572125869768408,4
5BUYtDh62uirLH4vMnE2dA ,0.35939916059200355,0.4689458575271914,0.07059253840526702,0.22713567839195978,0.04304568527918781,0.5056599854605879,0
5v8WqKhW9CBk2WF9PAcSIw ,0.6056991385023194,0.339689283227206,0.041697147037307994,0.9105527638190954,0.8720812182741116,0.45373351334510337,2
